click_date,mda_idx,total_conv,extreme_cnt,fraud_loss
2025-07-26,12,2291,88,11190
2025-07-26,14,139,6,900
2025-07-26,18,1,0,0
2025-07-26,22,2258,96,59880
2025-07-26,54,74,4,600
2025-07-26,56,14,0,0
2025-07-26,58,2624,2415,427640
2025-07-26,246,41,0,0
2025-07-26,270,315,37,968
2025-07-26,281,3,0,0
2025-07-26,290,1,0,0
2025-07-26,291,2,0,0
2025-07-26,294,41,41,21670
2025-07-26,303,80,0,0
2025-07-26,324,122,0,0
2025-07-26,337,9,0,0
2025-07-26,340,201,0,0
2025-07-26,341,144,0,0
2025-07-26,342,615,7,1600
2025-07-26,343,682,0,0
2025-07-26,344,185,0,0
2025-07-26,356,5,0,0
2025-07-26,371,728,475,4989
2025-07-26,375,3,0,0
2025-07-26,384,441,293,49810
2025-07-26,385,1,0,0
2025-07-26,397,17,0,0
2025-07-26,398,82,4,600
2025-07-26,458,48,12,2040
2025-07-26,482,4,0,0
2025-07-26,492,9,9,91
2025-07-26,496,822,6,855
2025-07-26,539,178,67,10720
2025-07-26,540,12,0,0
2025-07-26,562,441,441,15226
2025-07-26,563,16382,16382,418889
2025-07-26,564,2,0,0
2025-07-26,578,113,0,0
2025-07-26,579,152,0,0
2025-07-26,582,52,0,0
2025-07-26,583,23,0,0
2025-07-26,621,38,0,0
2025-07-26,634,142,139,1625
2025-07-26,637,134,0,0
2025-07-26,638,31,0,0
2025-07-26,639,42,0,0
2025-07-26,643,8,1,120
2025-07-26,645,22,0,0
2025-07-26,646,26,0,0
2025-07-26,654,2,0,0
2025-07-26,655,1,0,0
2025-07-26,667,82,6,720
2025-07-26,674,80,0,0
2025-07-26,675,57,0,0
2025-07-26,676,23,0,0
2025-07-26,677,18,0,0
2025-07-26,678,12,0,0
2025-07-26,682,20,0,0
2025-07-26,683,63,0,0
2025-07-26,684,11,0,0
2025-07-26,685,5,0,0
2025-07-26,687,42,0,0
2025-07-26,688,97,0,0
2025-07-26,700,100,0,0
2025-07-26,701,92,0,0
2025-07-26,702,136,0,0
2025-07-26,703,103,0,0
2025-07-26,714,1,0,0
2025-07-26,725,12,0,0
2025-07-26,739,152,0,0
2025-07-26,740,59,0,0
2025-07-26,756,4,0,0
2025-07-26,757,3,0,0
2025-07-26,758,15,0,0
2025-07-26,760,17,0,0
2025-07-26,761,446,446,54290
2025-07-26,790,31,0,0
2025-07-26,794,97,0,0
2025-07-26,795,91,0,0
2025-07-26,796,11,0,0
2025-07-26,797,10,0,0
2025-07-26,798,48,0,0
2025-07-26,799,45,0,0
2025-07-26,801,180,0,0
2025-07-26,804,49,0,0
2025-07-26,805,24,0,0
2025-07-26,806,86,0,0
2025-07-26,807,39,0,0
2025-07-26,808,40,0,0
2025-07-26,812,16,0,0
2025-07-26,817,6,0,0
2025-07-26,824,135,0,0
2025-07-26,845,129,0,0
2025-07-26,850,218,0,0
2025-07-26,851,193,0,0
2025-07-26,854,2,0,0
2025-07-26,980,563,8,3700
2025-07-26,990,86,0,0
2025-07-26,994,1,0,0
2025-07-26,997,55,0,0
2025-07-26,1010,48,0,0
2025-07-26,1012,40,0,0
2025-07-26,1013,57,0,0
2025-07-26,1014,13,0,0
2025-07-26,1015,10,0,0
2025-07-26,1016,19,0,0
2025-07-26,1019,1,0,0
2025-07-26,1020,302,0,0
2025-07-26,1021,82,0,0
2025-07-26,1022,124,0,0
2025-07-26,1025,22,0,0
2025-07-26,1026,9,0,0
2025-07-26,1027,17,0,0
2025-07-26,1029,3,0,0
2025-07-26,1030,3,0,0
2025-07-26,1031,6,0,0
2025-07-26,1032,6,0,0
2025-07-26,1036,2,0,0
2025-07-26,1037,1,0,0
2025-07-26,1045,43,0,0
2025-07-26,1046,78,0,0
2025-07-26,1047,136,0,0
2025-07-26,1048,34,0,0
2025-07-27,12,2218,39,5520
2025-07-27,14,144,7,1110
2025-07-27,18,4,0,0
2025-07-27,22,2486,93,32870
2025-07-27,30,1,0,0
